Pair Name,Bid Price,Ask Price,High Price,Low Price,Percent Change
EUR/USD,1.1865,1.1862,1.1894,1.1853,-0.03%
USD/JPY,109.14,109.11,109.35,108.88,-0.14%
GBP/USD,1.3913,1.3912,1.3939,1.3879,+0.23%
USD/CHF,0.9045,0.9041,0.9058,0.9022,-0.12%
USD/CAD,1.2546,1.2542,1.2576,1.2487,+0.28%
EUR/JPY,129.48,129.44,129.88,129.18,-0.17%
AUD/USD,0.7390,0.7389,0.7408,0.7358,+0.40%
NZD/USD,0.7008,0.7007,0.7019,0.6964,+0.57%
EUR/GBP,0.8530,0.8526,0.8558,0.8525,-0.22%
EUR/CHF,1.0731,1.0726,1.0756,1.0721,-0.14%
AUD/JPY,80.66,80.64,80.90,80.16,+0.27%
GBP/JPY,151.85,151.79,152.21,151.18,+0.09%
CHF/JPY,120.71,120.63,121.02,120.43,+0.02%
EUR/CAD,1.4887,1.4877,1.4926,1.4828,+0.26%
AUD/CAD,0.9273,0.9269,0.9279,0.9199,+0.70%
CAD/JPY,87.01,86.98,87.51,86.58,-0.38%
NZD/JPY,76.51,76.44,76.64,76.04,+0.43%
AUD/NZD,1.0551,1.0542,1.0575,1.0528,-0.06%
GBP/AUD,1.8827,1.8823,1.8876,1.8758,-0.16%
EUR/AUD,1.6057,1.6049,1.6134,1.6036,-0.41%
GBP/CHF,1.2584,1.2578,1.2598,1.2549,+0.10%
EUR/NZD,1.6934,1.6926,1.7050,1.6916,-0.51%
AUD/CHF,0.6684,0.6681,0.6705,0.6654,+0.28%
GBP/NZD,1.9856,1.9852,1.9936,1.9799,-0.25%
USD/INR,74.254,74.249,74.375,74.211,-0.14%
USD/CNY,6.4708,6.4700,6.4704,6.4620,+0.13%
USD/SGD,1.3521,1.3516,1.3535,1.3504,-0.10%
USD/HKD,7.7788,7.7785,7.7789,7.7725,+0.08%
USD/DKK,6.2694,6.2684,6.2746,6.2533,+0.06%
GBP/CAD,1.7457,1.7454,1.7472,1.7354,+0.53%
USD/SEK,8.6020,8.6010,8.6165,8.5715,+0.06%
USD/RUB,72.9715,72.9715,73.1885,72.7951,-0.10%
USD/TRY,8.4143,8.4022,8.4460,8.2930,+0.77%
USD/MXN,19.9043,19.8938,19.9295,19.8284,+0.02%
USD/ZAR,14.3296,14.3199,14.4729,14.3062,-0.90%
CAD/CHF,0.7212,0.7206,0.7250,0.7188,-0.37%
NZD/CAD,0.8792,0.8788,0.8810,0.8709,+0.83%
NZD/CHF,0.6339,0.6335,0.6355,0.6306,+0.43%
BTC/USD,"38,001.0","38,000.0","39,796.0","37,663.0",-4.19%
BTC/EUR,"32,043.0","32,039.6","33,488.5","31,768.0",-4.20%
ETH/USD,"2,471.17","2,470.75","2,663.02","2,445.02",-6.72%
